KIND:mlv
UNITS:m
INTERVAL:qm
LOCATION:er
# file created: 2018-12-18 13:00:12
#YYYY-MM-QQ,      VAL
2016-01-Q1,    174.21
2016-01-Q2,    174.22
2016-01-Q3,    174.22
2016-01-Q4,    174.23
2016-02-Q1,    174.25
2016-02-Q2,    174.27
2016-02-Q3,    174.29
2016-02-Q4,    174.31
2016-03-Q1,    174.34
2016-03-Q2,    174.40
2016-03-Q3,    174.45
2016-03-Q4,    174.50
2016-04-Q1,    174.54
2016-04-Q2,    174.58
2016-04-Q3,    174.61
2016-04-Q4,    174.64
2016-05-Q1,    174.65
2016-05-Q2,    174.65
2016-05-Q3,    174.65
2016-05-Q4,    174.66
2016-06-Q1,    174.65
2016-06-Q2,    174.62
2016-06-Q3,    174.60
2016-06-Q4,    174.58
2016-07-Q1,    174.56
2016-07-Q2,    174.55
2016-07-Q3,    174.55
2016-07-Q4,    174.54
2016-08-Q1,    174.52
2016-08-Q2,    174.51
2016-08-Q3,    174.49
2016-08-Q4,    174.48
2016-09-Q1,    174.46
2016-09-Q2,    174.44
2016-09-Q3,    174.43
2016-09-Q4,    174.41
2016-10-Q1,    174.39
2016-10-Q2,    174.36
2016-10-Q3,    174.34
2016-10-Q4,    174.31
2016-11-Q1,    174.28
2016-11-Q2,    174.26
2016-11-Q3,    174.24
2016-11-Q4,    174.22
2016-12-Q1,    174.22
2016-12-Q2,    174.23
2016-12-Q3,    174.24
2016-12-Q4,    174.25
2017-01-Q1,    174.28
2017-01-Q2,    174.33
2017-01-Q3,    174.37
2017-01-Q4,    174.41
2017-02-Q1,    174.44
2017-02-Q2,    174.45
2017-02-Q3,    174.45
2017-02-Q4,    174.46
2017-03-Q1,    174.48
2017-03-Q2,    174.50
2017-03-Q3,    174.52
2017-03-Q4,    174.54
2017-04-Q1,    174.58
2017-04-Q2,    174.61
2017-04-Q3,    174.65
2017-04-Q4,    174.68
2017-05-Q1,    174.72
2017-05-Q2,    174.76
2017-05-Q3,    174.80
2017-05-Q4,    174.84
2017-06-Q1,    174.86
2017-06-Q2,    174.84
2017-06-Q3,    174.83
2017-06-Q4,    174.82
