KIND:mlv
UNITS:m
INTERVAL:qm
LOCATION:mh
# file created: 2018-12-18 13:00:12
#YYYY-MM-QQ,      VAL
2016-01-Q1,    176.59
2016-01-Q2,    176.58
2016-01-Q3,    176.57
2016-01-Q4,    176.56
2016-02-Q1,    176.55
2016-02-Q2,    176.56
2016-02-Q3,    176.56
2016-02-Q4,    176.57
2016-03-Q1,    176.59
2016-03-Q2,    176.62
2016-03-Q3,    176.66
2016-03-Q4,    176.69
2016-04-Q1,    176.73
2016-04-Q2,    176.75
2016-04-Q3,    176.77
2016-04-Q4,    176.80
2016-05-Q1,    176.81
2016-05-Q2,    176.82
2016-05-Q3,    176.83
2016-05-Q4,    176.84
2016-06-Q1,    176.84
2016-06-Q2,    176.85
2016-06-Q3,    176.85
2016-06-Q4,    176.85
2016-07-Q1,    176.84
2016-07-Q2,    176.84
2016-07-Q3,    176.84
2016-07-Q4,    176.83
2016-08-Q1,    176.83
2016-08-Q2,    176.82
2016-08-Q3,    176.81
2016-08-Q4,    176.80
2016-09-Q1,    176.79
2016-09-Q2,    176.77
2016-09-Q3,    176.75
2016-09-Q4,    176.73
2016-10-Q1,    176.71
2016-10-Q2,    176.69
2016-10-Q3,    176.67
2016-10-Q4,    176.65
2016-11-Q1,    176.63
2016-11-Q2,    176.61
2016-11-Q3,    176.59
2016-11-Q4,    176.57
2016-12-Q1,    176.55
2016-12-Q2,    176.53
2016-12-Q3,    176.51
2016-12-Q4,    176.49
2017-01-Q1,    176.48
2017-01-Q2,    176.48
2017-01-Q3,    176.49
2017-01-Q4,    176.49
2017-02-Q1,    176.50
2017-02-Q2,    176.51
2017-02-Q3,    176.52
2017-02-Q4,    176.53
2017-03-Q1,    176.55
2017-03-Q2,    176.56
2017-03-Q3,    176.57
2017-03-Q4,    176.58
2017-04-Q1,    176.61
2017-04-Q2,    176.66
2017-04-Q3,    176.70
2017-04-Q4,    176.74
2017-05-Q1,    176.78
2017-05-Q2,    176.80
2017-05-Q3,    176.83
2017-05-Q4,    176.86
2017-06-Q1,    176.89
2017-06-Q2,    176.92
2017-06-Q3,    176.95
2017-06-Q4,    176.97
