KIND:mlv
UNITS:m
INTERVAL:qm
LOCATION:sc
# file created: 2018-12-18 13:00:12
#YYYY-MM-QQ,      VAL
2016-01-Q1,    175.19
2016-01-Q2,    175.19
2016-01-Q3,    175.19
2016-01-Q4,    175.19
2016-02-Q1,    175.20
2016-02-Q2,    175.21
2016-02-Q3,    175.22
2016-02-Q4,    175.23
2016-03-Q1,    175.28
2016-03-Q2,    175.32
2016-03-Q3,    175.37
2016-03-Q4,    175.41
2016-04-Q1,    175.44
2016-04-Q2,    175.47
2016-04-Q3,    175.49
2016-04-Q4,    175.52
2016-05-Q1,    175.51
2016-05-Q2,    175.51
2016-05-Q3,    175.51
2016-05-Q4,    175.52
2016-06-Q1,    175.51
2016-06-Q2,    175.50
2016-06-Q3,    175.49
2016-06-Q4,    175.48
2016-07-Q1,    175.47
2016-07-Q2,    175.47
2016-07-Q3,    175.46
2016-07-Q4,    175.45
2016-08-Q1,    175.44
2016-08-Q2,    175.43
2016-08-Q3,    175.42
2016-08-Q4,    175.41
2016-09-Q1,    175.39
2016-09-Q2,    175.37
2016-09-Q3,    175.35
2016-09-Q4,    175.33
2016-10-Q1,    175.31
2016-10-Q2,    175.28
2016-10-Q3,    175.26
2016-10-Q4,    175.24
2016-11-Q1,    175.21
2016-11-Q2,    175.19
2016-11-Q3,    175.17
2016-11-Q4,    175.15
2016-12-Q1,    175.17
2016-12-Q2,    175.18
2016-12-Q3,    175.18
2016-12-Q4,    175.18
2017-01-Q1,    175.19
2017-01-Q2,    175.21
2017-01-Q3,    175.23
2017-01-Q4,    175.26
2017-02-Q1,    175.26
2017-02-Q2,    175.26
2017-02-Q3,    175.27
2017-02-Q4,    175.27
2017-03-Q1,    175.30
2017-03-Q2,    175.32
2017-03-Q3,    175.33
2017-03-Q4,    175.35
2017-04-Q1,    175.36
2017-04-Q2,    175.39
2017-04-Q3,    175.43
2017-04-Q4,    175.46
2017-05-Q1,    175.48
2017-05-Q2,    175.51
2017-05-Q3,    175.54
2017-05-Q4,    175.57
2017-06-Q1,    175.61
2017-06-Q2,    175.62
2017-06-Q3,    175.62
2017-06-Q4,    175.63
